_id,neighborhood,school,enrolled_students
470,Terrace Village,PITTSBURGH WEIL PreK-5,87
471,Terrace Village,PITTSBURGH MILLIONES 6-12,54
472,Terrace Village,PITTSBURGH LIBERTY K-5,33
473,Terrace Village,PITTSBURGH OBAMA IB 6-12,26
474,Terrace Village,PITTSBURGH ALLEGHENY K-5,17
475,Terrace Village,PITTSBURGH WEIL EARLY CHILDHOOD CENTER,14
476,Terrace Village,PITTSBURGH CLASSICAL 6-8,11
477,Troy Hill,Other,69
478,Troy Hill,PITTSBURGH SCHILLER 6-8,29
479,Troy Hill,PITTSBURGH SPRING HILL K-5,23
480,Troy Hill,PITTSBURGH PERRY HIGH SCHOOL,14
481,Troy Hill,PITTSBURGH ALLEGHENY K-5,13
482,Upper Hill,Other,69
483,Upper Hill,PITTSBURGH MILLIONES 6-12,28
484,Upper Hill,PITTSBURGH MILLER PreK-5,24
485,Upper Hill,PITTSBURGH WEIL PreK-5,14
486,Upper Lawrenceville,Other,68
487,Upper Lawrenceville,PITTSBURGH SUNNYSIDE PreK-8,44
488,West End,Other,17
489,West End,PITTSBURGH WESTWOOD K-5,11
490,West Oakland,Other,42
491,West Oakland,PITTSBURGH WEIL PreK-5,12
492,Westwood,PITTSBURGH WESTWOOD K-5,60
493,Westwood,PITTSBURGH BANKSVILLE K-5,44
494,Westwood,PITTSBURGH BRASHEAR HIGH SCHOOL,41
495,Westwood,PITTSBURGH SOUTH HILLS 6-8,34
496,Westwood,Other,31
497,Westwood,PITTSBURGH CAPA 6-12,19
498,Westwood,PITTSBURGH WESTWOOD EARLY CHILDHOOD,18
499,Westwood,PITTSBURGH CARMALT PreK-8,11
500,Westwood,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,11
501,Wilkinsburg Borough,PITTSBURGH WESTINGHOUSE ACADEMY 6-12,233
502,Wilkinsburg Borough,Other,72
503,Windgap,Other,50
504,Windgap,PITTSBURGH WESTWOOD K-5,29
505,Windgap,PITTSBURGH BRASHEAR HIGH SCHOOL,19
506,Windgap,PITTSBURGH SOUTH HILLS 6-8,12
