_id,neighborhood,school,enrolled_students
107,Central Lawrenceville,Other,69
108,Central Lawrenceville,PITTSBURGH CAPA 6-12,25
109,Central Lawrenceville,PITTSBURGH ARSENAL PreK-5,20
110,Central Lawrenceville,PITTSBURGH MONTESSORI PreK-5,15
111,Central Lawrenceville,PITTSBURGH SCIENCE AND TECHNOLOGY ACADEMY,11
112,Central Northside,Other,68
113,Central Northside,PITTSBURGH ALLEGHENY K-5,53
114,Central Northside,PITTSBURGH KING PreK-8,15
115,Central Northside,PITTSBURGH CAPA 6-12,14
116,Central Oakland,Other,16
117,Chartiers City,Other,35
118,Crafton Heights,PITTSBURGH LANGLEY K-8,135
119,Crafton Heights,PITTSBURGH BRASHEAR HIGH SCHOOL,120
120,Crafton Heights,Other,96
121,Crafton Heights,PITTSBURGH BANKSVILLE K-5,32
122,Crafton Heights,PITTSBURGH BEECHWOOD PreK-5,32
123,Crafton Heights,PITTSBURGH SOUTH HILLS 6-8,26
124,Crafton Heights,PITTSBURGH ALLEGHENY K-5,21
125,Crafton Heights,PITTSBURGH WESTWOOD K-5,20
126,Crafton Heights,PITTSBURGH CARMALT PreK-8,17
127,Crafton Heights,PITTSBURGH CHARTIERS EARLY CHILDHOOD CENTER,14
128,Crafton Heights,PITTSBURGH CAPA 6-12,13
129,Crafton Heights,PITTSBURGH CLASSICAL ACADEMY  EARLY CHILDHOOD CENTER,13
130,Crawford-Roberts,Other,83
131,Crawford-Roberts,PITTSBURGH MILLER PreK-5,48
132,Crawford-Roberts,PITTSBURGH MILLIONES 6-12,43
133,Crawford-Roberts,PITTSBURGH OBAMA IB 6-12,25
134,Crawford-Roberts,PITTSBURGH WEIL PreK-5,17
135,Crawford-Roberts,PITTSBURGH LIBERTY K-5,12
136,Duquesne Heights,Other,47
137,Duquesne Heights,PITTSBURGH WHITTIER K-5,31
138,East Allegheny,Other,44
139,East Allegheny,PITTSBURGH ALLEGHENY K-5,15
140,East Allegheny,PITTSBURGH KING PreK-8,13
141,East Carnegie,Other,27
142,East Hills,PITTSBURGH FAISON K-5,114
143,East Hills,PITTSBURGH COLFAX K-8,92
144,East Hills,Other,74
145,East Hills,PITTSBURGH WESTINGHOUSE ACADEMY 6-12,65
